Metric,value
Processing Latency Min,6.0
Processing Latency Max,3788.0
Processing Latency Average,312.08383333333336
Processing Latency Standard Deviation,454.9947737598881
Processing Throughput Min,0.0
Processing Throughput Max,528.0
Processing Throughput Average,76.43312101910828
Processing Throughput Standard Deviation,88.49911274697212
