Metric,value
Processing Latency Min,1.0
Processing Latency Max,3788.0
Processing Latency Average,243.33174193548388
Processing Latency Standard Deviation,420.10071545796296
Processing Throughput Min,0.0
Processing Throughput Max,636.0
Processing Throughput Average,65.12605042016807
Processing Throughput Standard Deviation,105.84121609850334
