Metric,value
Processing Latency Min,0.0
Processing Latency Max,88.0
Processing Latency Average,6.38227589575101
Processing Latency Standard Deviation,6.854957054540095
Processing Throughput Min,NA
Processing Throughput Max,NA
Processing Throughput Average,NA
Processing Throughput Standard Deviation,NA
