Metric,value
Processing Latency Min,1.0
Processing Latency Max,98.0
Processing Latency Average,5.5618
Processing Latency Standard Deviation,4.099553881632205
Processing Throughput Min,NA
Processing Throughput Max,NA
Processing Throughput Average,NA
Processing Throughput Standard Deviation,NA
