Metric,value
Processing Latency Min,-159999999999998.0
Processing Latency Max,121.0
Processing Latency Average,-3697028508.599589
Processing Latency Standard Deviation,769106339938.2466
Processing Throughput Min,NA
Processing Throughput Max,NA
Processing Throughput Average,NA
Processing Throughput Standard Deviation,NA
